FIPS,County,2000-2016 avg
48259,Kendall,7.297425226250816
48261,Kenedy,8.216684248570475
48263,Kent,5.7971243020240895
48265,Kerr,6.767558232401102
48267,Kimble,7.348307659298068
48269,King,5.955693078255478
48271,Kinney,9.85824620966769
48273,Kleberg,8.79328119206099
48275,Knox,6.167646164420462
48277,Lamar,9.021178286143215
48279,Lamb,4.990507907292574
48281,Lampasas,7.104590691289015
48283,La Salle,8.142250970415063
48285,Lavaca,7.655112752376818
48287,Lee,7.7168462813766485
48289,Leon,7.909161199800095
48291,Liberty,9.0346428810339
48293,Limestone,8.324536486839051
48295,Lipscomb,6.211747803933293
48297,Live Oak,8.43511811691796
48299,Llano,7.070212367755918
48301,Loving,5.685412326860876
48303,Lubbock,6.493800027068797
48305,Lynn,5.2559986499684275
48307,McCulloch,6.446410800032837
48309,McLennan,9.160560582195574
48311,McMullen,8.723685588199418
48313,Madison,8.224119590879681
48315,Marion,8.613419347662406
48317,Martin,5.745885063728211
48319,Mason,6.369124712198049
48321,Matagorda,7.68589249803842
48323,Maverick,11.22511209652953
48325,Medina,7.668903900909423
48327,Menard,6.664622092843684
48329,Midland,7.054965216039755
48331,Milam,7.981120661893048
48333,Mills,6.481683840678009
48335,Mitchell,6.323428525896695
48337,Montague,7.750664836926271
48339,Montgomery,9.328427642837072
48341,Moore,5.298284428274973
48343,Morris,8.589456891098648
48345,Motley,5.512865430776862
48347,Nacogdoches,8.366347135795907
48349,Navarro,9.22056344995311
48351,Newton,8.980305422914322
48353,Nolan,5.944890073929245
48355,Nueces,8.99934100180446
48357,Ochiltree,5.756616147597815
48359,Oldham,5.064874007263719
48361,Orange,9.83140979812045
48363,Palo Pinto,7.1966421200765565
48365,Panola,8.346993388300834
48367,Parker,8.302442907044476
48369,Parmer,4.6544789442382175
48371,Pecos,7.599489312285903
48373,Polk,8.511587187542638
48375,Potter,6.350125555780048
48377,Presidio,8.06724614711631
48379,Rains,8.940012002259078
48381,Randall,5.484778922447533
48383,Reagan,7.793854965393079
48385,Real,6.608327511432207
48387,Red River,8.70423543546025
48389,Reeves,6.357606695388587
48391,Refugio,7.583147163860261
48393,Roberts,6.075053474146241
48395,Robertson,8.027483004520452
48397,Rockwall,9.847810593054795
48399,Runnels,6.554097713481021
48401,Rusk,8.193237648891381
48403,Sabine,8.618900545768094
48405,San Augustine,8.423601377423338
48407,San Jacinto,8.790912924924683
48409,San Patricio,7.9720498644892075
48411,San Saba,6.293895838563218
48413,Schleicher,7.55697453012506
48415,Scurry,6.195663813538475
48417,Shackelford,6.4130670585344625
48419,Shelby,8.402584485070683
48421,Sherman,5.399125627869921
48423,Smith,8.708620637760177
48425,Somervell,8.287945160292667
48427,Starr,9.179248320508975
48429,Stephens,6.37688275496669
48431,Sterling,7.193871081018193
48433,Stonewall,6.0558431134506865
48435,Sutton,8.538082404790348
48437,Swisher,4.968438026804811
48439,Tarrant,10.577443249603148
48441,Taylor,6.810582190198078
48443,Terrell,8.901698539805892
48445,Terry,4.970181680443253
48447,Throckmorton,6.496966128959833
48449,Titus,9.151894648876045
48451,Tom Green,7.969723416134937
48453,Travis,9.33857001627442
48455,Trinity,8.38241447063897
48457,Tyler,8.585684015219396
48459,Upshur,8.445065572228607
48461,Upton,7.3841040555889474
48463,Uvalde,7.569405595402828
48465,Val Verde,11.850899117141793
48467,Van Zandt,8.741721080666279
48469,Victoria,8.074636301259178
48471,Walker,8.799052017849741
48473,Waller,8.338912358276296
48475,Ward,6.152012788624907
48477,Washington,8.55946824404113
48479,Webb,9.81190575750908
48481,Wharton,7.889397776832857
48483,Wheeler,5.677682572362889
48485,Wichita,8.12988988504185
48487,Wilbarger,6.846922572804184
48489,Willacy,8.813564066998172
48491,Williamson,8.23444762768226
48493,Wilson,8.060967117125674
48495,Winkler,5.529958244392264
48497,Wise,8.575323221059097
48499,Wood,8.500503142719818
48501,Yoakum,4.804754304365818
48503,Young,6.649060345557232
48505,Zapata,9.533999115823804
48507,Zavala,7.965503755074581
